ParkName,ParkCode,LocationID,PeriodID,CommonName,ScientificName,CoverClass,MidRange
Pea Ridge National Military Park,PERI,PERI_InvPla_99,PERIInvPla2021Aug16,Nepalese browntop. Japanese stiltgrass,Microstegium vimineum,4,75
Pea Ridge National Military Park,PERI,PERI_InvPla_99,PERIInvPla2021Aug16,Kentucky bluegrass,Poa pratensis,2,5
Pea Ridge National Military Park,PERI,PERI_InvPla_99,PERIInvPla2021Aug16,multiflora rose,Rosa multiflora,2,5
Pea Ridge National Military Park,PERI,PERI_InvPla_99,PERIInvPla2021Aug16,black locust,Robinia pseudoacacia,1,0.5
Pea Ridge National Military Park,PERI,PERI_InvPla_99,PERIInvPla2021Aug16,tall fescue,Schedonorus arundinaceus,3,30
Pea Ridge National Military Park,PERI,PERI_InvPla_99,PERIInvPla2021Aug16,Johnsongrass,Sorghum halepense,1,0.5
Pea Ridge National Military Park,PERI,PERI_InvPla_99,PERIInvPla2021Aug16,spreading hedgeparsley,Torilis arvensis,1,0.5
Pea Ridge National Military Park,PERI,PERI_InvPla_100,PERIInvPla2021Aug16,tree of heaven,Ailanthus altissima,3,30
Pea Ridge National Military Park,PERI,PERI_InvPla_100,PERIInvPla2021Aug16,bald brome. spiked brome,Bromus racemosus,1,0.5
Pea Ridge National Military Park,PERI,PERI_InvPla_100,PERIInvPla2021Aug16,Bermudagrass,Cynodon dactylon,2,5
Pea Ridge National Military Park,PERI,PERI_InvPla_100,PERIInvPla2021Aug16,eastern redcedar,Juniperus virginiana,3,30
Pea Ridge National Military Park,PERI,PERI_InvPla_100,PERIInvPla2021Aug16,Nepalese browntop. Japanese stiltgrass,Microstegium vimineum,4,75
Pea Ridge National Military Park,PERI,PERI_InvPla_100,PERIInvPla2021Aug16,multiflora rose,Rosa multiflora,1,0.5
Pea Ridge National Military Park,PERI,PERI_InvPla_100,PERIInvPla2021Aug16,tall fescue,Schedonorus arundinaceus,2,5
Pea Ridge National Military Park,PERI,PERI_InvPla_100,PERIInvPla2021Aug16,spreading hedgeparsley,Torilis arvensis,1,0.5
Pea Ridge National Military Park,PERI,PERI_InvPla_100,PERIInvPla2021Aug16,poverty brome,Bromus sterilis,1,0.5
Pea Ridge National Military Park,PERI,PERI_InvPla_101,PERIInvPla2021Aug16,eastern redcedar,Juniperus virginiana,4,75
Pea Ridge National Military Park,PERI,PERI_InvPla_101,PERIInvPla2021Aug16,Nepalese browntop. Japanese stiltgrass,Microstegium vimineum,4,75
Pea Ridge National Military Park,PERI,PERI_InvPla_101,PERIInvPla2021Aug16,princesstree,Paulownia tomentosa,1,0.5
Pea Ridge National Military Park,PERI,PERI_InvPla_102,PERIInvPla2021Aug16,eastern redcedar,Juniperus virginiana,3,30
Pea Ridge National Military Park,PERI,PERI_InvPla_102,PERIInvPla2021Aug16,Nepalese browntop. Japanese stiltgrass,Microstegium vimineum,4,75
Pea Ridge National Military Park,PERI,PERI_InvPla_102,PERIInvPla2021Aug16,black locust,Robinia pseudoacacia,2,5
Pea Ridge National Military Park,PERI,PERI_InvPla_103,PERIInvPla2021Aug16,eastern redcedar,Juniperus virginiana,1,0.5
Pea Ridge National Military Park,PERI,PERI_InvPla_103,PERIInvPla2021Aug16,Nepalese browntop. Japanese stiltgrass,Microstegium vimineum,1,0.5
Pea Ridge National Military Park,PERI,PERI_InvPla_104,PERIInvPla2021Aug16,eastern redcedar,Juniperus virginiana,2,5
Pea Ridge National Military Park,PERI,PERI_InvPla_105,PERIInvPla2021Aug16,eastern redcedar,Juniperus virginiana,5,300
Pea Ridge National Military Park,PERI,PERI_InvPla_105,PERIInvPla2021Aug16,sericea lespedeza,Lespedeza cuneata,2,5
Pea Ridge National Military Park,PERI,PERI_InvPla_105,PERIInvPla2021Aug16,Japanese honeysuckle,Lonicera japonica,1,0.5
Pea Ridge National Military Park,PERI,PERI_InvPla_105,PERIInvPla2021Aug16,multiflora rose,Rosa multiflora,1,0.5
Pea Ridge National Military Park,PERI,PERI_InvPla_105,PERIInvPla2021Aug16,Johnsongrass,Sorghum halepense,1,0.5
Pea Ridge National Military Park,PERI,PERI_InvPla_106,PERIInvPla2021Aug16,spotted knapweed,Centaurea stoebe ssp. micranthos,1,0.5
Pea Ridge National Military Park,PERI,PERI_InvPla_106,PERIInvPla2021Aug16,Queen Anne's lace,Daucus carota,1,0.5
Pea Ridge National Military Park,PERI,PERI_InvPla_106,PERIInvPla2021Aug16,eastern redcedar,Juniperus virginiana,5,300
Pea Ridge National Military Park,PERI,PERI_InvPla_106,PERIInvPla2021Aug16,sericea lespedeza,Lespedeza cuneata,3,30
Pea Ridge National Military Park,PERI,PERI_InvPla_106,PERIInvPla2021Aug16,privet sp.,Ligustrum,1,0.5
Pea Ridge National Military Park,PERI,PERI_InvPla_106,PERIInvPla2021Aug16,Japanese honeysuckle,Lonicera japonica,2,5
Pea Ridge National Military Park,PERI,PERI_InvPla_106,PERIInvPla2021Aug16,Nepalese browntop. Japanese stiltgrass,Microstegium vimineum,4,75
Pea Ridge National Military Park,PERI,PERI_InvPla_106,PERIInvPla2021Aug16,multiflora rose,Rosa multiflora,3,30
Pea Ridge National Military Park,PERI,PERI_InvPla_106,PERIInvPla2021Aug16,black locust,Robinia pseudoacacia,4,75
Pea Ridge National Military Park,PERI,PERI_InvPla_106,PERIInvPla2021Aug16,tall fescue,Schedonorus arundinaceus,4,75
Pea Ridge National Military Park,PERI,PERI_InvPla_106,PERIInvPla2021Aug16,Johnsongrass,Sorghum halepense,3,30
Pea Ridge National Military Park,PERI,PERI_InvPla_107,PERIInvPla2021Aug16,poverty brome,Bromus sterilis,1,0.5
Pea Ridge National Military Park,PERI,PERI_InvPla_107,PERIInvPla2021Aug16,eastern redcedar,Juniperus virginiana,2,5
Pea Ridge National Military Park,PERI,PERI_InvPla_107,PERIInvPla2021Aug16,sericea lespedeza,Lespedeza cuneata,2,5
Pea Ridge National Military Park,PERI,PERI_InvPla_107,PERIInvPla2021Aug16,Japanese honeysuckle,Lonicera japonica,1,0.5
Pea Ridge National Military Park,PERI,PERI_InvPla_107,PERIInvPla2021Aug16,Nepalese browntop. Japanese stiltgrass,Microstegium vimineum,3,30
