InpID,Easting,Northing,Acres,LocationID,Lon_DD,Lat_DD
165,647876.059578037,4771960.36465439,5.38570875689,EFMO_InvPla_165,-91.183242,43.085942
166,643600.358960397,4772387.37673215,2.27253522081,EFMO_InvPla_166,-91.235637,43.090607
167,643721.548266524,4772359.75502776,9.89958470250,EFMO_InvPla_167,-91.234156,43.090336
168,643919.701733476,4772332.74497224,9.89959835028,EFMO_InvPla_168,-91.231730,43.090055
169,644117.834852275,4772305.88608217,9.88698723507,EFMO_InvPla_169,-91.229303,43.089776
170,644292.934724152,4772278.58733947,7.59379346149,EFMO_InvPla_170,-91.227160,43.089497
171,645196.008775993,4772183.44754279,1.25401482648,EFMO_InvPla_171,-91.216095,43.088468
172,645306.318691981,4772164.34428348,7.86469330724,EFMO_InvPla_172,-91.214745,43.088275
173,645508.98456786,4772149.7286714,6.55104188271,EFMO_InvPla_173,-91.212260,43.088104
174,645703.298266524,4772090.25502776,9.89955504958,EFMO_InvPla_174,-91.209889,43.087532
175,645895.917227328,4772064.70819222,9.31118316228,EFMO_InvPla_175,-91.207531,43.087265
176,646356.415952163,4772028.08481922,2.68939271164,EFMO_InvPla_176,-91.201885,43.086847
177,646496,4771982.5,9.87641415022,EFMO_InvPla_177,-91.200183,43.086409
178,646694.173268217,4771955.50501439,9.87512970969,EFMO_InvPla_178,-91.197757,43.086128
179,646892.34375,4771928.5,9.87683766614,EFMO_InvPla_179,-91.195331,43.085847
180,647090.514231783,4771901.49498561,9.87502947611,EFMO_InvPla_180,-91.192904,43.085565
181,647288.6875,4771874.5,9.87652798510,EFMO_InvPla_181,-91.190478,43.085284
182,647486.875,4771847.5,9.87641415029,EFMO_InvPla_182,-91.188051,43.085002
183,647685.048268217,4771820.50501439,9.87512970967,EFMO_InvPla_183,-91.185625,43.084721
184,647883.258892537,4771793.61390539,9.88739334141,EFMO_InvPla_184,-91.183198,43.084440
186,643692.927431562,4772166.49866469,9.39212298967,EFMO_InvPla_186,-91.234558,43.088602
187,643892.413707833,4772153.29602895,8.02023429815,EFMO_InvPla_187,-91.232111,43.088445
188,644091.895407633,4772140.71112716,6.61132723419,EFMO_InvPla_188,-91.229666,43.088294
189,644280.157128682,4772128.42337862,4.63870088551,EFMO_InvPla_189,-91.227356,43.088148
190,645682.110416625,4771893.71135126,9.31847944825,EFMO_InvPla_190,-91.210201,43.085767
191,645874.350543967,4771864.95079743,9.86786473245,EFMO_InvPla_191,-91.207848,43.085471
192,646469.752885663,4771784.76230952,9.83032572554,EFMO_InvPla_192,-91.200558,43.084635
193,646667.201733476,4771757.24497224,9.89959835031,EFMO_InvPla_193,-91.198140,43.084349
194,646865.375,4771730.25,9.90088658416,EFMO_InvPla_194,-91.195714,43.084067
195,647063.522352275,4771703.38608217,9.88700086723,EFMO_InvPla_195,-91.193288,43.083787
196,647261.75,4771676.5,9.87647101990,EFMO_InvPla_196,-91.190861,43.083507
197,647459.923268217,4771649.50501439,9.87502947610,EFMO_InvPla_197,-91.188435,43.083225
198,647658.076731783,4771622.49498561,9.87508640907,EFMO_InvPla_198,-91.186009,43.082944
199,647856.25,4771595.5,9.87642775086,EFMO_InvPla_199,-91.183583,43.082662
201,645658.051324029,4771688.35741797,8.86988696307,EFMO_InvPla_201,-91.210550,43.083923
202,645847.5625,4771667,9.87637081788,EFMO_InvPla_202,-91.208229,43.083695
203,645966.719537666,4771638.22988967,2.07236926445,EFMO_InvPla_203,-91.206773,43.083413
204,646456.07098639,4771587.7006997,8.50392141600,EFMO_InvPla_204,-91.200778,43.082864
205,646640.25,4771559,9.87642775086,EFMO_InvPla_205,-91.198524,43.082570
206,646838.4375,4771532,9.87637081800,EFMO_InvPla_206,-91.196097,43.082288
207,647036.650899604,4771505.11893444,9.88564203666,EFMO_InvPla_207,-91.193671,43.082008
208,647234.78125,4771478.25,9.90131022648,EFMO_InvPla_208,-91.191245,43.081728
209,647432.951733476,4771451.24497224,9.89955495471,EFMO_InvPla_209,-91.188819,43.081446
210,647631.125,4771424.25,9.90088658416,EFMO_InvPla_210,-91.186393,43.081165
